brand,os,storage,ram,Camera,battery,screen,price,usage,link
iPhone 16 128GB,ios,none,6,good,none,none,31960.0,camera,https://www.hepsiburada.com/iphone-16-128gb-siyah-p-HBCV00006Y4HFJ?magaza=Hepsiburada&utm_source=google&utm_medium=cpc&utm_campaign=sc:hb-ecom.sr:google.md:text.op:purchase.cid:14876433751&utm_content=agid:167576157483&wt_gl=cpc.text.camp14876433751adgr167576157483&gad_source=1&gad_campaignid=14876433751&gbraid=0AAAAADOiRobB7WgVR_3xMkJ2ZX_iyGRLS&gclid=CjwKCAjwi-DBBhA5EiwAXOHsGav5HQ7S4BMLqOdRaUETDYgkObl6eng6zeHDydtCnFM7KN20SeJqjxoCcGcQAvD_BwE
iPhone 16 Plus 128GB,ios,none,6,good,good,good,35960.0,camera,https://www.hepsiburada.com/iphone-16-plus-128gb-siyah-p-HBCV00006Y4HG5?magaza=Hepsiburada&utm_source=google&utm_medium=cpc&utm_campaign=sc:hb-ecom.sr:google.md:text.op:purchase.cid:14876433751&utm_content=agid:167966571516&wt_gl=cpc.text.camp14876433751adgr167966571516&gad_source=1&gad_campaignid=14876433751&gbraid=0AAAAADOiRobB7WgVR_3xMkJ2ZX_iyGRLS&gclid=CjwKCAjwi-DBBhA5EiwAXOHsGbhWUGh0-hzuVOIc3hoXlzpbOx9HWEpq2sVXejxL6tEdpJrv0TwdqxoCxboQAvD_BwE
iPhone 16 Plus 256GB,ios,good,6,good,good,good,37960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-plus-256gb-akilli-telefon-siyah-mxwn3tua-1239606.html?utm_content=nonbrand&utm_source=google&utm_medium=cpc&utm_campaign=rt_search_generic_nsp_na_dsa-other-trafik2-feed&gclsrc=aw.ds&gad_source=1&gad_campaignid=19597444980&gbraid=0AAAAADpRgaoa6oiG6-R3KMpf9jXIsnCOT&gclid=CjwKCAjwi-DBBhA5EiwAXOHsGd8qRGA2W7IZ1geqIjOKPtcvyVR1824YlcH4lbzaTpxfMf-EmBpv3hoCsQUQAvD_BwE
iPhone 16 Plus 512GB,ios,good,6,good,good,good,39960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-plus-512gb-akilli-telefon-siyah-my1p3tua-1239551.html
iPhone 16 Pro 128GB,ios,none,6,good,good,none,39960.0,camera,https://www.amazon.com.tr/Apple-iPhone-16-Pro-256/dp/B0DGJQXCTP/ref=sr_1_1_sspa?adgrpid=162979174724&dib=eyJ2IjoiMSJ9.ULRcXUpHU0hWbTIUbMzdMLwY2aqCxO_9LVEssSR65bd9UnXab3WDln23yWLCR9kAYpcMIeWC5c3hFZIAb9dqUQhmLVN2lssbI_b650kUS_pl8C2eURTVvcAImrPx4gvgtL-G4_oRq4RDB3vBslg5msbycYXbF78M6gSNj-vqhqmLFaK0M-L6uRf_hYVPV0mTH7yvCuarC3D2S5ZSsUm_IzKccEshiQLzPrKDGwLSMq-IoFs12ZYYtPovV9vrUBejhxP3RHgRdNQqrp9HCv2Gw_GKvn62nalin_iMtNEjf1Y.d7QshdKVjoIdEQbKEUfJ5H9917AV49EuDMj_GjgoZG4&dib_tag=se&hvadid=735444692116&hvdev=c&hvlocphy=1012769&hvnetw=g&hvqmt=e&hvrand=6199371900771833486&hvtargid=kwd-845053439244&hydadcr=12165_2504846&keywords=iphone%2B16%2Bpro&mcid=ca600a953c6e3ae2833c8e544091ae71&qid=1748536357&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
iPhone 16 Pro 256GB,ios,good,8,good,good,none,41960.0,camera,https://www.amazon.com.tr/Apple-iPhone-16-Pro-256/dp/B0DGJJJ8YH/ref=sr_1_1_sspa?adgrpid=162979174724&dib=eyJ2IjoiMSJ9.ULRcXUpHU0hWbTIUbMzdMLwY2aqCxO_9LVEssSR65bd9UnXab3WDln23yWLCR9kAYpcMIeWC5c3hFZIAb9dqUQhmLVN2lssbI_b650kUS_pl8C2eURTVvcAImrPx4gvgtL-G4_oRq4RDB3vBslg5msbycYXbF78M6gSNj-vqhqmLFaK0M-L6uRf_hYVPV0mTH7yvCuarC3D2S5ZSsUm_IzKccEshiQLzPrKDGwLSMq-IoFs12ZYYtPovV9vrUBejhxP3RHgRdNQqrp9HCv2Gw_GKvn62nalin_iMtNEjf1Y.d7QshdKVjoIdEQbKEUfJ5H9917AV49EuDMj_GjgoZG4&dib_tag=se&hvadid=735444692116&hvdev=c&hvlocphy=1012769&hvnetw=g&hvqmt=e&hvrand=6199371900771833486&hvtargid=kwd-845053439244&hydadcr=12165_2504846&keywords=iphone%2B16%2Bpro&mcid=ca600a953c6e3ae2833c8e544091ae71&qid=1748536357&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
iPhone 16 Pro 512GB,ios,good,8,good,good,none,43960.0,camera,https://www.amazon.com.tr/Apple-iPhone-16-Pro-256/dp/B0DGJJJ8YH/ref=sr_1_1_sspa?adgrpid=162979174724&dib=eyJ2IjoiMSJ9.ULRcXUpHU0hWbTIUbMzdMLwY2aqCxO_9LVEssSR65bd9UnXab3WDln23yWLCR9kAYpcMIeWC5c3hFZIAb9dqUQhmLVN2lssbI_b650kUS_pl8C2eURTVvcAImrPx4gvgtL-G4_oRq4RDB3vBslg5msbycYXbF78M6gSNj-vqhqmLFaK0M-L6uRf_hYVPV0mTH7yvCuarC3D2S5ZSsUm_IzKccEshiQLzPrKDGwLSMq-IoFs12ZYYtPovV9vrUBejhxP3RHgRdNQqrp9HCv2Gw_GKvn62nalin_iMtNEjf1Y.d7QshdKVjoIdEQbKEUfJ5H9917AV49EuDMj_GjgoZG4&dib_tag=se&hvadid=735444692116&hvdev=c&hvlocphy=1012769&hvnetw=g&hvqmt=e&hvrand=6199371900771833486&hvtargid=kwd-845053439244&hydadcr=12165_2504846&keywords=iphone%2B16%2Bpro&mcid=ca600a953c6e3ae2833c8e544091ae71&qid=1748536357&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
iPhone 16 Pro Max 128GB,ios,none,6,good,good,good,43960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-pro-max-256gb-akilli-telefon-natural-titanium-mywy3tua-1239592.html
iPhone 16 Pro Max 256GB,ios,good,8,good,good,good,47960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-pro-max-256gb-akilli-telefon-natural-titanium-mywy3tua-1239592.html
iPhone 16 Pro Max 512GB,ios,good,8,good,good,good,51960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-pro-max-256gb-akilli-telefon-natural-titanium-mywy3tua-1239592.html
